From state 318:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 319:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 320:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 321:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 322:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 323:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 324:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 325:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 326:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 327:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 328:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 329:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 330:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 331:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 332:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 333:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 334:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 335:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 336:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 337:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 338:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 339:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 340:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 341:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 342:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 343:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 344:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 345:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 346:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 347:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 348:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 349:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 350:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 351:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 352:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 353:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
From state 354:    0,00   0,00   0,00   0,00   0,00   0,00   0,00   0,00 
